"Aberdeen",
"Airdrieonians","Airdrie","Airdrie United"
"Albion Rovers","Albion"
"Alloa Athletic","Alloa"
"Annan Athletic","Annan
"Arbroath"
"Ayr United","Ayr","Ayr Utd"
"Bonnyrigg Rose Athletic","Bonnyrigg"
"Berwick Rangers","Berwick","NONLEAGUE"
"Brechin City","Brechin"
"Celtic"
"Clyde"
"Cove Rangers","Cove"
"Cowdenbeath","NONLEAGUE"
"Dumbarton"
"Dundee"
"Dundee United","Dundee Utd"
"Dunfermline Athletic","Dunfermline"
"East Fife"
"East Stirlingshire","East Stirling","NONLEAGUE"
"Edinburgh City"
"Elgin City","Elgin"
"Falkirk"
"Forfar Athletic","Forfar"
"Greenock Morton","Morton"
"Hamilton Academical","Hamilton"
"Heart Of Midlothian","Hearts","Heart OF Midlothian"
"Hibernian"
"Inverness Caledonian Thistle","Inverness CT"
"Kelty Hearts"
"Kilmarnock"
"Livingston"
"Montrose"
"Motherwell"
"Partick Thistle"
"Peterhead"
"Queen Of The South","Queen of Sth","Queen of the South","Queen of South"
"Queen's Park","Queen's Pk","Queens Park"
"Raith Rovers","Raith"
"Rangers"
"Ross County"
"St Johnstone",,"ST Johnstone"
"St Mirren",,"ST Mirren"
"Stenhousemuir"
"Stirling Albion","Stirling"
"Stranraer"
